"Depth" "XCO2Dpp" "XCH4Dpp" "TempC" "SPCuScm" "ChlARFU" "ChlAugL" "BGAPCRFU" "BGAPCgL" "TurbFNU" "fDOMRFU" "fDOMQSU" "ODOsat" "ODOmgL" "pH" "Pressps" "NITRATEU" "NITRATEM" "ABS254" "ABS350" "TINT" "TSPEC" "TLAMP" "XCO2Dppm_h" "XCO2Dppm_t" "XCH4Dppm_h" "XCH4Dppm_t" "TmpC_hy" "TempC_t" "SPCScm_h" "SPCScm_t" "ChlARFU_h" "ChlARFU_t" "ChlAgL_h" "ChlAgL_t" "BGAPCRFU_h" "BGAPCRFU_t" "BGAPCgL_h" "BGAPCgL_t" "TrbFNU_h" "TrbFNU_t" "fDOMRFU_h" "fDOMRFU_t" "fDOMQSU_h" "fDOMQSU_t" "ODOst_h" "ODOst_t" "ODOmgL_h" "ODOmgL_t" "pH_hyd" "pH_tau" "CH4uM" "CH4Sat" "CH4M_hy" "CH4St_h" "CH4uM_t" "CH4St_t" "CO2uM" "CO2Sat" "CO2M_hy" "CO2St_h" "CO2uM_t" "CO2St_t" "Date" "Statistic"
"160" 28.6 539.5 1760 27.75 479.1 12.68 52.97 8.302 8.379 16.86 26.21 77.49 206.7 15.85 8.614 9.641 NA NA NA NA NA NA NA 561.1 581.7 1776 1761 27.8 27.75 478.9 477.9 12.78 13.27 56.76 56.05 8.387 8.382 8.394 8.592 15.89 16.4 26.24 26.25 77.78 77.24 207 201.3 16.12 15.82 8.613 8.622 2.392 90430 2.488 94440 2.558 101400 17.21 139.5 17.94 139.9 18.51 146.1 2016-08-18 "Max"
"161" 6.0976133381513 17.8497880747699 221.678852185768 0.131134122081477 6.25717396201659 1.36395035065504 5.67184089431008 0.755957377876697 0.749178641942157 1.60690094619501 2.76432827761867 8.01295107287803 10.4391369733303 0.811753105163697 0.0218071983198792 0.91132883724369 NA NA NA NA NA NA NA 19.2092972523448 19.0161166658735 225.380234549299 215.627890742138 0.133513936893271 0.129962864803443 6.2929557531937 6.3116318517886 1.39305491849988 1.41400417466368 5.87383282414214 5.70063273736743 0.740367657114623 0.771133237143847 0.750828098592057 0.768665562948288 1.58350522933226 1.60252224833187 2.80052124655658 2.7984852950041 8.17193779556614 8.02843238955771 10.406706823683 10.2209699961142 0.828380242975846 0.842606956907513 0.0224614893836912 0.0219546659118417 0.297798141196896 11654.5940736069 0.315471426758842 11574.3252058296 0.301428465621656 11551.5713426235 0.58847099042444 4.9180362760425 0.609826779204024 4.75925530554777 0.626006798355184 4.96898233277749 2016-08-18 "sd"
"162" 3.80529840102683 269.163789463398 246.463554141811 27.0084262516245 432.09768944283 0.236042481522653 1.03194947156501 0.136180054958448 0.147457278920734 2.82621929857609 6.4982043783834 19.3127898849627 114.636194409597 9.09962239493115 8.49688723713618 4.55237850414388 NA NA NA NA NA NA NA 270.205318947592 267.420414003626 245.561203362563 238.638762997592 26.9858126943528 26.9958142478751 432.161553433741 432.051274019092 0.23802107203206 0.243408739018013 1.00565202586822 1.00737687365336 0.138631845751768 0.133317455100177 0.153553798816943 0.155183710279065 2.853982834276 2.78274903970548 6.48550404902149 6.4871987813877 19.3605995455303 19.3083615788557 114.771349620119 114.699967232501 9.10634310239882 9.1094772202163 8.49700169093911 8.50047112322008 0.334979402034516 12885.6228459521 0.337580232259585 12945.4911742769 0.330020758486192 12514.5239394388 8.9451526350484 67.6684129642375 8.9114256133316 67.66550401773 8.89191475091867 67.2512768303124 2016-08-18 "Q05"
"163" 5.96565152810856 274.593177217658 258.491105527503 27.0698998304254 433.314397058841 0.25746638207856 1.14447573713714 0.147138679409627 0.160073657333613 3.06861146040343 6.54387367722256 19.4812930122306 115.304298448458 9.15911983696841 8.50358474685748 4.78174240084824 NA NA NA NA NA NA NA 276.516203560225 274.116434478844 260.705239011762 249.666726973412 27.0578839061122 27.0647981174444 433.308024004154 433.28666753869 0.262754428717747 0.267612048136576 1.10909092259616 1.10264002914082 0.150390351801541 0.149350780268202 0.167281250557223 0.169661079748247 3.0863757689055 3.04643862778594 6.55230809022285 6.5632810102767 19.5505643397667 19.5083838923984 115.556802821379 115.425056115184 9.16509967218774 9.17240026773237 8.50336137004616 8.50764692653488 0.35397772980858 13675.5656901411 0.361174027535076 13755.1649998727 0.345438345532918 13159.5550944658 9.09536894988635 69.3023665984994 9.10577203403597 68.8665059187455 9.11944294560247 69.1139783314841 2016-08-18 "Q10"
"164" 22.4039840741889 290.951546545585 507.056596557337 27.3819878601684 447.200356234385 0.984322948777612 4.2469884187023 0.495770616139436 0.502459573372708 4.622276562307 8.2200096230571 23.5758856714452 123.923657175328 9.80064668904994 8.54972865486683 7.19157952653793 NA NA NA NA NA NA NA 291.217080645594 291.327600437759 535.403688338473 491.613114294245 27.3763705492227 27.3732058736262 447.334278030093 447.075744806024 0.939716843339103 1.13324327852308 4.17803263128059 4.38189011697137 0.537314803169526 0.581995656124632 0.58350820754899 0.5445182896971 4.77562252996654 4.70540452559692 8.1790773894723 8.17124779758531 24.2059856229495 24.2856907407542 123.889192771145 123.591773157527 9.78799732855422 9.79985940795278 8.55232548008985 8.55215183551625 0.694101972225777 26971.587699247 0.711916013220612 27275.341499572 0.683207341474405 25448.3047861895 9.6368055413336 72.9435626663741 9.63430099153051 72.8940112736428 9.66356894513182 73.2809562888267 2016-08-18 "Q90"
"165" 23.7376400322664 293.625998336514 931.027222493003 27.4269876376529 451.077349286975 2.32451666422342 10.3833418420464 0.995923687659434 0.913461149485421 6.80797771441295 12.8250391343977 35.1276107818479 136.889561336442 10.9640175974511 8.5593707967811 7.42760041544148 NA NA NA NA NA NA NA 293.152797846894 293.540551526581 930.279123667136 829.152816243658 27.4156174336783 27.425103019973 452.261138348921 451.846559040375 2.19896662352506 2.56576330258173 9.52179797451154 9.80747626372025 1.06747306708538 1.19845139073118 1.17172107695236 1.18110296338471 7.12493823973717 7.21613119026753 12.7032613605115 12.7421290215013 36.2816740785102 36.6974326752238 138.615273715783 137.989870621258 10.9053550773503 10.9343486995862 8.56432699420894 8.57050835674985 1.26126395056913 48443.6348418342 1.27871779484624 47372.7500594464 1.14512307314923 43805.3906150448 9.71216442433381 73.5214692771988 9.70785020053606 73.4376830110291 9.73474139734212 73.9639489350631 2016-08-18 "Q95"
"166" 1.373 239 94.78 23.76 484.2 0.2231 1.018 0.09119 0.1146 0.462 6.92 20.31 90.22 7.696 8.089 3.825 5.894 0.08118 0.5004 0.2828 28 27.81 28.91 244 219.5 91.34 20.71 23.67 23.73 485 484.7 0.2557 0.2671 1.016 0.9968 0.09116 0.09389 0.1148 0.1078 0.4664 0.4473 6.828 6.869 20.28 20.64 88.01 90.47 7.619 7.375 8.085 8.096 0.1549 5372 0.1375 4968 0.05697 1881 8.548 56.57 8.748 61.43 8.267 58.8 2016-09-01 "Min"
"167" 9.853 300.2 204.5 24.12 492.6 0.4182 1.717 0.1697 0.187 0.7824 7.55 22.41 105.1 8.809 8.336 13.49 7.296 0.1044 0.5262 0.3039 28.33 29.33 29.18 299.6 300 203.6 193.1 24.11 24.11 492.3 492.8 0.429 0.4271 1.741 1.797 0.1723 0.1789 0.1932 0.1862 0.7981 0.7998 7.555 7.538 22.46 22.35 105.2 105.1 8.808 8.786 8.337 8.338 0.297 10980 0.296 10640 0.2934 10710 10.75 75.06 10.73 75.26 10.74 75.09 2016-09-01 "Q25"
"168" 15.24 308.9 259.4 24.23 494.8 0.5095 2.125 0.2014 0.2215 0.8765 7.91 23.54 107.3 8.984 8.355 14.8 7.636 0.1107 0.5322 0.3085 28.45 29.61 29.22 308.8 308.6 254 248.1 24.23 24.23 494.9 495.1 0.5363 0.5152 2.167 2.193 0.2008 0.2144 0.2266 0.2195 0.891 0.9032 7.954 7.951 23.56 23.24 107.3 107.1 8.968 8.938 8.355 8.355 0.3788 13810 0.3668 13530 0.3804 13720 11.08 77.15 11.05 77.29 11.11 77.29 2016-09-01 "Median"
"169" 14.47 315.3 328.7 24.23 496.5 1.015 4.164 0.3183 0.3471 1.328 9.242 27.25 109.2 9.162 8.351 14.4 8.682 0.1263 0.542 0.3138 28.45 29.58 29.21 315.3 315.5 327.3 321.3 24.23 24.23 496.2 496.5 1.024 1.019 4.179 4.236 0.3244 0.3339 0.3486 0.3347 1.362 1.368 9.201 9.206 27.64 26.95 109.4 109.2 9.149 9.118 8.351 8.352 0.481 17400 0.4785 17010 0.4829 17290 11.29 78.77 11.27 79.04 11.41 78.71 2016-09-01 "Mean"
